dataset,rows,columns,header,sha256
data_exports.csv,1,6,export_id|dataset|from_region|to_region|purpose|approved,acca7a89a6537d23da2eb5ffad3a5d3bda1f856fc60c1f49697aec6c5548b589
data_licenses.csv,2,4,dataset|permitted_use|commercial_use|model_training,e148e61273b426b41f6945906c30d7598b8528ab7fce781c0b05861d9c735c88
data_residency.csv,1,4,data_class|approved_regions|observed_region|source,4eef7b490b912f9aa523571a90927b64a9c88c9ca04fbb7d74eecd426044ea76
decision_rights.csv,3,3,decision|accountable_role|ai_authority,f14ca006007bfbda0b8b7c8bdda669a311d21a902152a426540365791bcd9431
deletion_requests.csv,1,4,request_id|subject_id|scope|status,04abde7e38d1a3c308226ddcceb1576dbbb602a5194d7c509b5b23811e13f32e
demand_forecast.csv,3,3,channel|product|units_8w,173bd152cc053e16a575e4d66544566daeb6e04c52d3a21f86039a7b5cf288e6
deviations.csv,2,5,deviation_id|taxonomy|status|capa|similarity_to,0c3bada8e8f5f72cdc311d7221655fb56d04e9d05f9981032abc464d7b719600
document_catalog.csv,4,8,document_id|document|local_path|authority|effective_date|status|availability|notes,aaf4cb2fbbe2ce02b6f0abffb7b6d92f0308f4a33065bfbbebdf96680879bc9f
document_lineage.csv,1,4,record|derived_from|transcribed_by|verified_by,3be119ba8ea1b925906ffc994cbb24ff96e0b76ade682f7e6e4eef838ca8f176
downtime_events.csv,2,5,event_id|systems|cause|start|end,d6b939afb6b044f13c27a5444346dcbf3f4e7a0216d096ebabb75767d3341e8c
duplicate_candidates.csv,2,4,case_a|case_b|similarity|reason,6a7c310a63ab556cbd9e0e39eaeb9ce786cd9881e28fef2faa1dac92e8b0adb1
ebr_steps.csv,1,5,batch_id|step|performed_time|entered_time|entry_mode,e4cd629db1579355cd1da16982125fbba880974817c6c397abeee9f6e4105515
ectd_sequences.csv,1,4,sequence|product|index_document|archive_present,8a3519d6bf0496fd4457e444ce1f60e7ae066a5cd5f538b2e0d3c09e45b8e31d
eligibility_evidence.csv,1,7,subject_id|test|value|unit|central_uln|local_uln|edc_rule_uln,12db6b98ff9fbc870b943e35193de27c75005fd236032bbc467245f4b7d4a751
endpoint_packets.csv,1,5,packet_id|subject_id|endpoint|source_complete|review_status,58790be3079bf98fbb45c9fc6315ca7beac6a7e73d1ec452c30237eaa2f6d107
environmental_monitoring.csv,1,6,sample_id|batch_id|location|cfu|alert_limit|time,d65d2d36be37b4e9458f390bb568fa4b76e910430a580c19b95fc52054f3e01a
evaluation_cohorts.csv,4,4,cohort|language|n|product_type,6fa722d33190f977ece97d4a5fe1011074350210daf2e82200e182f453d32979
exposure_estimates.csv,2,4,product|market|source|patients,68296af55dc3e6bf71ab0345c9c53665b8361816b2f309a3f6335388b0633ce7
genomic_data.csv,2,6,participant|disease|variant|country|age|postal_prefix,30f500527c58edafc46d1f4af0f90018ade8f43ba1c1dad9e5b00c56014544d3
icsr_cases.csv,3,8,case_id|source|product|event|country|awareness_date|language|patient_key,d13496a8a6324d102f1fb0ca373af9dcd1e4fee9f466d6bd14b31bb188a447d2
idmp_mappings.csv,1,3,local_product|idmp_product|mapping_status,67c2ff21d54b6622bdf5a643838cb8020b3d4d1bc07763633ac1f06b89a29d73
image_forensics.csv,1,5,study_id|panel|similarity_to|similarity_score|metadata_note,a692be64ddb3cf0a696bee2fc2d4d9a5fc3d411ba3deca50ee96c92ab6717ad8
imaging_reviews.csv,2,3,packet_id|reviewer|conclusion,65d3b0a14c71f042ff9206de808777364659382d773532300bd5dfb577171b9a
inject_evidence_map.csv,84,5,inject_id|dimension|title|evidence_sources|participant_status,1e8f57601c7f7135f391e0c8a345f45b90198ad89463cd08d04b3e755c42f3b1
inspection_requests.csv,1,4,request_id|agency|scope|deadline_hours,4869ee76132117397c936b2d4f0f9cafb0c5f3de34d2aa2a0ff53df938342629
instruments.csv,1,5,instrument_id|type|firmware|qualified_firmware|qualification_status,b55b27230dfda81cd76b1838c58c278f1c7353428da206c239b8182b73055319
interface_events.csv,2,4,interface|event|retry_count|idempotency_key,e1211a245f7e59772a27f07470b6d85206519f696acd07db02f506a0fbfb947d
interface_mappings.csv,1,5,interface|source_unit|target_unit|conversion_rule|approved,113e85ae0f1a37ebd3196d04ead3d68f30a908282f38234907fae2b8d1eca4bd
inventory.csv,4,4,product|market|quality_status|units,9583253d3b011c075457bd0303cbfc3efffa247cde58d3926c56f5cb26f31db0
knowledge_catalog.csv,32,9,doc_id|file|authority|effective|status|trust|jurisdiction|supersedes|sha256,fbfae13936c8b801341549d99882e41aaf0f7ec0cf5c6c941e8dee7f292eb3fa
kpi_conflicts.csv,4,3,function|kpi|target,640cfdcb56fce0a44fcdcae7069c8b4291d1fd3f3c124edcfbf8d0d3478d2b96
lab_results.csv,2,7,result_id|batch_id|test|value|unit|spec|status,c71ce01419c0089b2ebfafb83ccd4625d7ab70e1a75de1a3a80fc80352e8c40f
legal_holds.csv,1,3,hold_id|scope|status,67625b6a1779d30c062f140e09c24cd66be17916c7137ae56ecc8881ffa5ed68
listedness_sources.csv,3,4,product|source|risk|listed,2a0e9d178da932846e9a69caa7dbdf2e152ba606f165a2b39a23eccb2d1590b5
market_authorisations.csv,3,4,product|market|status|label_version,d4cdc3063897d0148bed789bade104ae80104fd1351167ba8140681ce734f261
material_genealogy.csv,3,4,batch_id|material_lot|relation|source,dfc2403fccc48f988a24b5b78531809d754f2b97233409ddcec5107cca9f8048
medicinal_products.csv,2,5,product_id|source|strength|dose_form|substance,ec47e482ff659a00b97029fc85010a896790e21247b4fa2809957a19a740387f
microbiology_results.csv,1,4,sample_id|initial_id|corrected_id|correction_time,8c1614f4642110a530ea68baff7454d043ee5d59a1ad0b7b2dbf5448ad6b44b7
model_artifacts.csv,1,4,model_id|deployed_hash|registry_hash|signature,796893e4cf42de3fff56f2a783516e33fa528d2ae808652415047539ffc04021
model_costs.csv,2,5,vendor|model|input_per_million|previous|output_per_million,fef2d7d9fe8b9614643d3103018ab55a33c19a46e858389ee0148e2eb3062456
model_endpoints.csv,2,4,endpoint|region|status|model,6639e88eb7d763140092e870abd346279513d63707f9d9ff0d28b0d6b60f7726
model_performance.csv,5,4,model_id|slice|metric|value,3d63d16690d823e5c693f2be4bde53717fecc7a783af077cfbd94d84ee596b5b
model_registry.csv,3,4,model_id|intended_use|status|hash,2df35eea7bd9e91016336162edf9f2d15810afd5767fc4199ba5ad6c92fad7e6
model_usage.csv,2,5,workflow|requests|input_tokens|output_tokens|successful_tasks,9a7b4a2a20c1191360f7d18b16b1b483ede38fcf73da904a03f52ea0381a986a
network_zones.csv,3,3,zone|trust|connectivity,2835d34e63f961cfd364336415df837f53dabb162635a37b863b6d7d36cd4a08
no_ai_baselines.csv,3,3,option|estimated_value_pct|duration_weeks,69de96e4cceff2c62f5447eb527dbce8267cfc6e7edcfcedb073cde2e8c2a9db
omics_cohorts.csv,2,4,cohort|ancestry_group|n|positive_rate,846027aed940d44607b9f7c30f96fcb98c359f6ce95979a1eeb546d25faf6fb7
oos_investigations.csv,1,6,investigation_id|result_id|lims_state|stats_state|notebook_state|final_state,a7c4d787c774c469575fb5897f809146ea738a4374c727f6dccfd85c53c0da2b
organisations.csv,3,4,org_id|name|country|role,71e1c5a211df257ee961b07c0ee897454c4ffbfe43f79687ef1e10a1de8b631a
packaging_events.csv,1,4,line|event|time|aggregation_rebuild,c9b8f701c43de9689e1d7980939e4d24aea59a05d0a25591fe93f57ea02aa615
pat_models.csv,1,5,model_id|version|approved_version|deployed_time|change_control,b35ddaa4d51d3ec272cea67702e408844b0269e09e85b9039998e7276c3839ec
patient_support_cases.csv,1,4,case_id|product|free_text|purpose,e147ab65ee2d2122f8cf416bfea3264bb32ad0450a12e36a46c42311d64b5f76
portfolio_products.csv,4,6,product_id|modality|stage|patent_months|primary_market|risk,0098b8f73d7cb04bde02c69a4785b377000505fc77cbc1f32662d3f491b154e1
preclinical_studies.csv,1,5,study_id|cro|endpoint|status|report,e99a7f36e6e8f729978620544657de3e6fa6da7bcbf0cfb87b107a0261097b8c
privacy_risk.csv,1,4,dataset|risk|likelihood|impact,f2e8d742b112e7c2c051336fa7aeb2c79af51c79e21a8b263913853805efba9a
privileged_sessions.csv,1,5,session_id|user|purpose|approved_window|actual_end,d96a9b51aa6f787770acd61a52d468c369e2bb7084d6f821daebfc3542f3476a
processing_events.csv,1,5,event_id|specimen_id|purpose|status|consent_check,e4ae3b2ee3792658ab70b3fb1bc1d582a2fe767d97575999c1e97fd6fa41ca93
product_complaints.csv,1,5,complaint_id|product|lot|issue|adverse_event_link,0c9d6abe0873a714bd2e92899d438d03124fee7005060d8833176a3e422d35fc
product_labels.csv,3,5,product|market|version|risk_text|status,7794ea3f0acbddb3c7df721ccfd9e38c0f6c9380917f10a689ee29dbbe569e3d
product_master_aliases.csv,3,2,alias|canonical_product,aa2e65e965eeb1cafbf8630ed8d0d978c30eb0c8496d95c7e3bb21ed053e59e5
production_schedule.csv,1,4,equipment|campaign|product_sequence|start,8a730bf0e948bb2d4bfa6645bf8ccb51a1b6622395424abf7f692d983aa7c214
protocol_versions.csv,3,4,trial_id|version|effective_date|status,7bb80babcd46e01c430134da5b6c28cb53cfbd9dd3fc8c186e1e261aec71398b
quality_events.csv,2,5,event_id|type|object|severity|status,e38c4ba55235198d0edff043bf1fb70bcedf5b4d49c7671f088300a57b17f44e
randomization_events.csv,1,5,event_id|subject_id|kit|method|time,81c6f55371ab9600703c7b89da1563767787f865c6506ae56601cd690c956351
reagent_lots.csv,2,3,reagent_lot|expiry|coa_status,e28339b0369460a6d31ab0fa0bb9f4dc8c495dc155751fd74fd5e5deb5810586
recall_candidates.csv,2,4,lot|shared_component|shared_equipment|distribution,e5efd65787e8ac72de42eb37d49d100350ed65b268c7ddbb469121f0b65c9163
recipes.csv,1,3,recipe_id|pat_model_version|effective_date,daeb8118d7c0794a9e8a706e113f2e24fd18ab60db241da5ea96ab54b75e05bc
regional_rules.csv,3,3,region|role|rule,6bd17480d9be6ebc7fcf8be704e03ad032307a5367ba047ae2a9d5e131671f99
regulatory_changes.csv,1,5,change_id|change|EU_classification|US_classification|dispute,fcf568ecfcb6949ba920f0664588c01186313aece43e90e0bb0c5ca82cfeee1a
regulatory_commitments.csv,1,5,commitment_id|product|tracker_due|authority_letter_due|status,9b53815947abaeef6f4c29e21cad9252d62f1667adc95dc7e6b581370059972c
release_packets.csv,2,3,batch_id|packet_item|status,0857c0f831318eb9c3fa16a51d168cb1288fa516e067e6afee9d9881f3386ced
retention_rules.csv,3,3,record_type|rule|action,1bbfa0f2c9c75ad4c976dab656d8973448afd95179a41363c1eb851847534fcd
retirement_assets.csv,4,2,asset|retention,651341f64737c4d771879ce2e372d457ef6efd633ec7ed9e3352ec0060b9164b
returns.csv,2,4,return_id|serial|print_score|distribution_match,9e0ace29abf94f3c0a1faa433f34c3542a66071218bb0c94990a04b7afcccbf3
reviewer_feedback.csv,1,5,output_id|reviewer|action|review_seconds|comment,9310ca40c1f1bf7a946762deab019efc0152f7add53a5781af080ee74c79aa6a
safety_receipts.csv,3,3,case_id|channel|receipt,8fe76fdcf2c69b549e993d48d986ace45fb5eadeca6d394b8599dfedbb25f059
security_events.csv,2,4,event_id|type|tokens|blocked,a7a53c41d1639cd841abe1ff19b7e9c6b3bee1b2381fd3a48d8799996324b79d
sensitive_segments.csv,2,3,case_id|segment|access_group,a83a3aef3dbd8ab6af51360fbd74ad44e390c557d4537b466b301f40df0aff26
serialisation_events.csv,3,4,serial|event|case|pallet,f6d608cc6d8b6bdcd28f96702b6b9dc2c6bd874ba7c6d0ea208043207b00d103
shipments.csv,2,7,shipment_id|product|lots|lane|status|logger|pallet,d26f835d400a85a7ba2b01c840a4a5f4f7b72dd677a91f08f8164ce7a5c3b97d
signal_metrics.csv,3,3,signal|method|value,756a5383e678d1d7009610fd7345a557dc3b50f5f2582bec209e7e361e8cc496
site_approvals.csv,2,4,site_id|trial_id|approved_protocol|ec_status,dc46884effe22b1b1e03b5b74c383aeadeb5bfbe0f4b70e2cdcc6eaadf9a443e
site_metrics.csv,1,5,site_id|enrolment|late_source_pct|digit_preference_flag|credential_sharing_flag,16cff55900454c99d057238c404fbb6b9fe6cc7920177b378d0e222ead52bdae
social_listening.csv,1,5,post_id|text|identifiable_reporter|identifiable_patient|country,8db2708aefddbece60d04fbb47621674609a7e4615294713dc12f2a2aede8f16
specimens.csv,1,5,specimen_id|subject_id|type|status|processing_time,f0cf174614401f0e5de8cba64e1a9ea4ae08d2593fbb071c2fdd9582ba471a47
spreadsheet_inventory.csv,1,5,file|owner|intended_use|version_control|verified,19adcfc501ff056fb85cb6bcb7779ed2dfdc0eec3a40b68070ec7764d61f3bd8
staff_rates.csv,3,2,role|loaded_hourly_usd,bfd80c0e5c306e563d802db4951ffbaca5a67185e0eb78d71295ba1b7191a5fd
staff_rosters.csv,1,3,shift|staff|account_used,c09db2f778f8ab75a4a35bf93cb6f69dce362aba0174988833466e09cbc0a301
stakeholders.csv,3,4,stakeholder_id|role|region|priority,93967111b76793443375cf6f47cee3d04813e1fb77659d4b206662910fbb0494
subjects.csv,2,4,subject_id|trial_id|site_id|status,821fd2853b1a8bd0635b555717c41af5aae4d0bae2ad0e7d99c23a9abdb8d6cc
substance_master.csv,2,4,substance_id|name|source|status,e4b4b41bada28a9ef791d8cb3c62545d8f5b98725967831ec0667b24182c676c
supplier_audits.csv,1,5,supplier|audit_id|commitment|due|status,dc944ef641be804e2b7e83eedb418eaf28f25efe0d303c744033f97dac9637dd
supplier_risks.csv,1,5,supplier|material|risk|recovery_weeks|alternate_qualified,de50ac6a2c0f7e7d72070ba718f4959fb1a5e37c55be010edc8a78218905e3b6
support_tickets.csv,1,4,ticket_id|system|text|visibility,f7dd21e979e3bbc2fe37c4eb29fe8d2bd8863f6b5ceab64b537067542bbacdad
system_inventory.csv,3,4,system|owner|classification|status,a6fbc721ea1736903a7c27fedda9e819f2918778b60102e827fb7fb20dd4a19e
target_evidence.csv,2,4,target|source|direction|confidence,8d5c0554f9c2eb00257350f4528897a4dc2ef89a6f335c0dddddb386e45ef63e
temperature_loggers.csv,2,5,logger|timestamp|timezone|temp_c|pallet,0b9fdaa37221bd156b00613ebb6b92dcb3c97a77f29358ddac737a657b829b57
terminology_versions.csv,2,3,terminology|version|status,68d64717a5a2b3e72e135a5a1ad2db0e23dbc372f3869c46f6b049f8a0afd016
timezone_rules.csv,2,3,site_id|timezone|dst_transition,c43f74b4385468ce5df4f25b2097068342510e440325bfd5c3bf4b2efda0d2a7
tool_catalog.csv,3,4,tool_id|permissions|approved|manifest,b38437b1eba4d9de319dac25f6be992bb7f2d2516590e416efc5d047f6df1351
trade_documents.csv,2,3,shipment_id|document|description,9177b518388c4f43e32ecf712a037122ffe7457845887b7adeb2291b7936a223
usability_findings.csv,2,3,finding|severity|status,c6222ebb1dfa582d00e024fbdb9fd886075a66a0d942228208737de1df444710
users_entitlements.csv,2,4,user|role|iam_state|ai_gateway_state,cf155def1a9afc2eb71d54fbf1bf8f52740bb18d095e331aae5f6ac4ec7f0b25
validation_inventory.csv,3,3,system|source|state,0451dcc676dfdc7e96e87551ee86bd3b94cbce76212c8bec654170567b8737dd
validation_tests.csv,2,4,test_id|system|requirement|result,5b6121cb026bee7744c3baa138279137de194d01048972d03377a6d2dd19201d
vendor_contracts.csv,2,4,vendor|service|exit_days|data_export,1ed32eb8401c4ab3dd7efebf1f23a7128f721dc0f8f6faf3535bd8b5ed302325
vendor_dependencies.csv,4,2,capability|vendor,306d18ce0e2ae1e251e4c028a463185686395cb4c00409734622759e7f8707f9
vendor_exit_assets.csv,4,2,asset|status,212dec97175e43bac82bce10f650c1814e6b0c5fb2f9b4d2389208e4be266fd9
vendor_releases.csv,1,4,vendor|version|security_fix|validation_pack,1e93bc2b7cec9a276a93220506840ad8dfc6633cdb68aa96a30bba3f53630701
warehouse_movements.csv,1,6,movement_id|material_lot|batch_id|quantity|unit|status,4490ca665c5487fe01dabeb89efcf0d4c39c6ab4e99efa44f8afbb3075e864dd
wearable_readings.csv,2,5,subject_id|device_id|timestamp|timezone|heart_rate,2c154707fc293bfc0f7b07ff5ef0f0ca2202e99f2be8ce3b9968396c2fa2bfb5
